county,states,statefips,pci,household_income,family_income,population,num_of_households
Johnson,Arkansas,5,19366,31003,37119,25655,10046
Coryell,Texas,48,19357,49819,56459,75966,20416
LaGrange,Indiana,18,19356,47617,51922,37463,11833
Titus,Texas,48,19356,42939,50325,32360,10725
Jefferson,Arkansas,5,19353,37140,48562,75782,28367
Limestone,Texas,48,19352,38823,49121,23417,7929
Pike,Kentucky,21,19351,32961,42210,64473,26362
Highland,Ohio,39,19348,39091,46643,43395,16918
Bourbon,Kansas,20,19340,39591,50231,15004,5636
Nottoway,Virginia,51,19337,36607,52837,15862,5673
Mecosta,Michigan,26,19336,39470,50330,43007,15536
Hampton,South Carolina,45,19332,34233,42588,20840,7470
Shelby,Missouri,29,19331,35938,48274,6274,2597
Fulton,Arkansas,5,19326,35522,41720,12266,5140
Lewis,Missouri,29,19317,42071,49043,10193,3936
Columbia,Florida,12,19306,38070,45003,67568,23604
Parmer,Texas,48,19304,44943,47096,10159,3215
Fleming,Kentucky,21,19304,32495,45490,14435,5539
Bedford,Tennessee,47,19303,40759,47774,45339,16402
Clarke,Georgia,13,19295,33060,50744,118864,41358
Hickman,Kentucky,21,19292,34029,46549,4834,1983
Chambers,Alabama,1,19291,32402,41040,34145,13722
Hot Spring,Arkansas,5,19286,41193,49541,33182,12231
Sullivan,Missouri,29,19279,36676,44783,6611,2640
Columbus,North Carolina,37,19275,35761,45865,57761,21758
Union,Mississippi,28,19273,38373,44772,27338,10322
Comanche,Texas,48,19268,36020,45503,13829,5162
Adair,Missouri,29,19258,34733,54609,25573,9648
Nowata,Oklahoma,40,19256,39430,48694,10580,4050
Butler,Missouri,29,19246,34969,43135,42946,17085
Yuba,California,6,19244,44902,50648,72574,24300
Chowan,North Carolina,37,19240,34420,43512,14782,5945
Jay,Indiana,18,19236,40235,47376,21333,8179
Caldwell,North Carolina,37,19228,34357,46628,82407,31417
Jim Hogg,Texas,48,19212,36121,42775,5271,1805
Carter,Kentucky,21,19204,36406,44210,27493,10319
Jackson,Louisiana,22,19188,37388,45490,16217,6090
Sanders,Montana,30,19188,32881,39650,11400,5149
Gordon,Georgia,13,19177,40926,48810,55409,19066
Camp,Texas,48,19176,37079,45781,12415,4475
Idaho County,Idaho,16,19168,37349,44962,16269,6534
Payette,Idaho,16,19165,43649,51998,22629,8056
Fannin,Georgia,13,19164,34239,40855,23614,9940
Bladen,North Carolina,37,19154,30164,43210,34969,14256
Laurens,South Carolina,45,19153,37383,44778,66457,25184
Alcorn,Mississippi,28,19145,33600,43320,37159,14679
Logan,Kentucky,21,19143,36590,47378,26822,10912
Blaine,Nebraska,31,19141,42917,45625,586,249
Lawrence,Tennessee,47,19136,37368,47649,41927,15862
Franklin,Arkansas,5,19135,36766,43053,18063,6769
Polk,Arkansas,5,19116,32835,38275,20540,8069
Sevier,Utah,49,19115,46229,53997,20798,7146
Grayson,Kentucky,21,19115,32399,41216,25833,9897
Cleburne,Alabama,1,19108,38019,46069,14945,5601
Wise,Virginia,51,19107,36218,46628,41154,15406
Iron,Missouri,29,19101,36387,44069,10505,4126
McIntosh,Oklahoma,40,19100,36096,44470,20358,8092
Houston,Texas,48,19090,33119,46557,23365,7889
Woodruff,Arkansas,5,19087,28259,36902,7180,3070
Allen,Kentucky,21,19086,40008,49378,20123,8061
Webster,Georgia,13,19082,35718,51458,2769,1129
Otero,Colorado,8,19078,33848,41943,18817,7427
Del Norte,California,6,19072,37909,51470,28357,9593
Isabella,Michigan,26,19061,36372,51563,70400,24817
Lawrence,Missouri,29,19060,39334,47950,38488,14817
Warren,North Carolina,37,19052,34285,44587,20792,7731
Logan,Arkansas,5,19046,34996,46489,22221,8233
Jefferson,Oklahoma,40,19042,34701,40847,6457,2456
Schley,Georgia,13,19037,38425,52391,5017,1829
Union,South Carolina,45,19037,32556,41390,28594,11854
Hardy,West Virginia,54,19032,32723,43097,13922,5020
Charles Mix,South Dakota,46,19030,40102,51780,9176,3191
Wilkes,North Carolina,37,19029,33159,42083,69184,27512
Lamar,Alabama,1,19026,36028,42470,14396,6084
Montgomery,Arkansas,5,19021,31345,39469,9387,3873
Gallatin,Kentucky,21,19020,43793,48984,8525,2995
Grant,Louisiana,22,19018,39654,47832,22113,7340
Carter,Tennessee,47,19018,31842,41010,57438,24079
Seward,Kansas,20,19015,50185,52529,23146,7429
Red River,Texas,48,19014,31712,42371,12709,5052
Osceola,Florida,12,19007,43891,47839,279837,90413
Saline,Missouri,29,19006,39519,46731,23324,8764
Ohio County,Kentucky,21,19005,40830,44200,23955,8715
Hall,Texas,48,19004,33006,45593,3310,1177
Nolan,Texas,48,19002,36806,46282,15087,5527
Evans,Georgia,13,18998,36788,46369,10902,4067
Winston,Alabama,1,18995,32900,41113,24342,9489
Oceana,Michigan,26,18986,40023,47419,26456,9537
Clarke,Alabama,1,18979,29357,45518,25573,9631
Ouachita,Arkansas,5,18975,32015,42354,25651,10733
Wayne,Missouri,29,18970,33159,39465,13437,5589
Montcalm,Michigan,26,18969,40451,47435,63234,23400
Coleman,Texas,48,18967,31373,37887,8744,3478
Heard,Georgia,13,18964,39909,49381,11708,4321
Crosby,Texas,48,18959,38187,42379,6056,2164
Bienville,Louisiana,22,18958,31543,42271,14229,5668
Wyandotte,Kansas,20,18957,39402,47025,158348,57291
Fremont,Colorado,8,18954,39943,48623,46850,16938
Rhea,Tennessee,47,18952,36741,46526,32080,12096
Prowers,Colorado,8,18941,34391,44481,12473,4935
Petersburg City,Virginia,51,18936,34424,40559,32326,12456
Scott,Arkansas,5,18934,37448,42333,11111,4324
Tift,Georgia,13,18933,34591,41712,40537,13691
McDowell,North Carolina,37,18932,35297,45874,44963,17252
Wayne,Mississippi,28,18928,29925,38502,20675,8105
Oneida,Idaho,16,18920,40842,46802,4257,1579
Kleberg,Texas,48,18918,40566,48275,32052,11241
Habersham,Georgia,13,18910,39306,48610,43181,14805
Mississippi County,Arkansas,5,18905,36428,42286,45912,17058
Bamberg,South Carolina,45,18902,31483,43317,15814,5883
Lowndes,Georgia,13,18897,37365,49499,111334,39722
Haskell,Oklahoma,40,18896,35334,46474,12849,4713
Franklin,Alabama,1,18888,36415,46536,31666,12437
Bingham,Idaho,16,18872,47941,54323,45485,14650
Randolph,Arkansas,5,18871,34418,45492,17896,7244
Marion,Kentucky,21,18865,38719,47360,19943,7368
Montgomery,North Carolina,37,18865,31830,43038,27707,10610
Newton,Mississippi,28,18864,39190,44720,21645,7931
Barnwell,South Carolina,45,18862,35231,43818,22399,8416
Patrick,Virginia,51,18860,34864,42547,18445,7846
Allen,Louisiana,22,18857,38429,48306,25674,8099
Noble,Ohio,39,18853,38290,43146,14639,4883
Decatur,Iowa,19,18845,36326,46275,8308,3106
Ware,Georgia,13,18842,34572,46455,36008,13460
Yuma,Arizona,4,18840,41595,44302,199026,70122
Gratiot,Michigan,26,18836,40359,50893,42148,14787
Elbert,Georgia,13,18835,35817,41387,19907,7635
Motley,Texas,48,18828,35845,40000,1182,433
Meriwether,Georgia,13,18821,37333,43597,21695,8135
Bristol City,Virginia,51,18820,32221,41025,17713,7674
Chester,Tennessee,47,18817,41875,52983,17151,5936
Meigs,Ohio,39,18816,35469,44783,23659,9560
Hale,Alabama,1,18812,30051,38048,15594,5969
Cherokee,Texas,48,18801,38378,46797,50865,17422
Lamar,Georgia,13,18800,41016,49741,18139,6393
Taylor,Kentucky,21,18790,36384,46250,24585,9708
Martin,North Carolina,37,18783,35111,44633,24147,9444
Van Buren,Arkansas,5,18782,32517,42607,17147,7063
Washington County,North Carolina,37,18779,34936,43636,12958,5056
Colleton,South Carolina,45,18769,33233,41716,38453,14905
Luce,Michigan,26,18768,39469,45950,6550,2427
Johnson,Illinois,17,18763,40760,50796,12665,4362
Charlotte,Virginia,51,18762,33015,43384,12478,4751
Sabine,Texas,48,18762,32963,37827,10604,4161
Hoke,North Carolina,37,18761,45489,53584,48842,16161
Fayette,Indiana,18,18757,37391,46311,24112,9536
Madison,Arkansas,5,18754,35771,43373,15671,6048
Yalobusha,Mississippi,28,18750,32930,46360,12554,4797
Lamb,Texas,48,18744,36727,45304,13921,4803
Trinity,Texas,48,18730,34555,44343,14460,5091
Webster,Mississippi,28,18728,33524,45647,10129,4084
Wilkinson,Mississippi,28,18717,33618,39966,9653,3496
Toombs,Georgia,13,18716,31189,46442,27229,10310
Haywood,Tennessee,47,18714,34542,43094,18531,7099
Howard,Arkansas,5,18707,35879,40970,13748,5208
Cross,Arkansas,5,18701,38085,48100,17760,6818
Nevada County,Arkansas,5,18695,33694,42500,8948,3622
San Augustine,Texas,48,18695,28390,41014,8855,3275
Clay,Alabama,1,18694,34002,43598,13703,5649
Neshoba,Mississippi,28,18693,37050,41449,29655,10829
Fayette,West Virginia,54,18685,33771,42182,45889,17250
Bailey,Texas,48,18676,46139,48681,7121,2358
Torrance,New Mexico,35,18675,31161,45409,16185,5638
Richland,Louisiana,22,18669,36835,45070,20816,7619
Crockett,Tennessee,47,18664,36066,43693,14576,5619
Lafayette,Florida,12,18660,39722,52627,8745,2710
Pike,Missouri,29,18650,39850,52000,18579,6559
Screven,Georgia,13,18640,34848,46591,14455,5165
Braxton,West Virginia,54,18635,31848,43884,14524,5780
Bullock,Alabama,1,18628,32033,44933,10746,3741
Laurens,Georgia,13,18625,34793,43935,48203,17632
Baldwin,Georgia,13,18622,32751,48719,46018,16338
Dougherty,Georgia,13,18619,31671,38145,94220,35661
Fulton,Kentucky,21,18602,33582,39274,6650,2744
Benton,Mississippi,28,18597,31060,42436,8682,3195
Cook,Georgia,13,18592,34985,43780,17066,6308
Bulloch,Georgia,13,18587,35840,52100,71190,25254
Claiborne,Tennessee,47,18583,33229,42766,31915,12553
Cherokee,Oklahoma,40,18582,37260,49379,47488,16875
Harmon,Oklahoma,40,18582,26688,36597,2894,1106
Stone,Mississippi,28,18576,42963,50491,17854,5871
Pontotoc,Mississippi,28,18576,39899,50403,30207,9937
Orange,Indiana,18,18576,38826,46454,19829,7688
Bacon,Georgia,13,18558,33757,48115,11159,4036
Stephens,Georgia,13,18557,37898,46972,25910,9227
Worth,Georgia,13,18551,35792,44411,21670,7851
Gulf,Florida,12,18546,40455,44574,15793,5414
St. Francois,Missouri,29,18544,37238,46537,65602,24654
Dent,Missouri,29,18544,36311,42356,15649,5858
Pushmataha,Oklahoma,40,18542,29897,38834,11406,4900
Houston,Tennessee,47,18539,35271,44637,8375,3423
Clay,Arkansas,5,18509,31502,41121,15790,6814
Bland,Virginia,51,18501,42139,48906,6795,2480
Winston,Mississippi,28,18501,30821,40589,19052,7635
Bethel Census Area,Alaska,2,18497,51689,53224,17356,4358
Anderson,Texas,48,18495,40653,52077,58262,16378
Fayette,Alabama,1,18494,33838,44034,17110,6956
Coosa,Alabama,1,18493,37277,46777,11198,4506
Tippah,Mississippi,28,18493,34636,41358,22080,8472
Union,New Mexico,35,18472,38902,48350,4458,1606
Lincoln,West Virginia,54,18458,35487,42293,21660,8416
Benton,Tennessee,47,18456,33033,39526,16398,6892
Buena Vista City,Virginia,51,18453,36591,49429,6699,2738
Reynolds,Missouri,29,18449,34496,39632,6661,2664
Knott,Kentucky,21,18448,33889,43684,16217,5892
Greene,North Carolina,37,18441,40853,50781,21382,7104
Suwannee,Florida,12,18431,35698,43716,42865,15712
Kings,California,6,18429,48133,50489,151806,40785
McNairy,Tennessee,47,18428,33452,41545,26066,9736
Attala,Mississippi,28,18422,31641,41356,19383,7185
Crawford,Missouri,29,18415,35897,44985,24711,9485
Hyde,North Carolina,37,18408,42279,42048,5771,2148
Hidalgo,New Mexico,35,18392,34080,37432,4834,1837
Jackson,Tennessee,47,18387,33386,42800,11527,4493
Hickman,Tennessee,47,18383,39581,47683,24428,8846
El Paso,Texas,48,18379,40157,44619,813015,255573
Wyoming County,West Virginia,54,18377,34454,47602,23479,9101
Putnam,Florida,12,18377,32497,40802,73683,28047
Pike,Arkansas,5,18377,32206,37440,11250,4325
Gooding,Idaho,16,18373,37050,45093,15278,5552
Lowndes,Alabama,1,18368,26230,40783,11086,4212
Overton,Tennessee,47,18347,34604,43587,22109,8815
Cherokee,North Carolina,37,18340,34432,43178,27243,10722
Tishomingo,Mississippi,28,18338,32592,40949,19582,7643
Polk,Georgia,13,18336,39208,48675,41308,14645
Ottawa,Oklahoma,40,18331,36473,44106,32029,12134
Carroll,Tennessee,47,18330,35049,45351,28525,11022
Seminole,Oklahoma,40,18321,33819,42751,25443,9327
Copiah,Mississippi,28,18318,35421,45769,29204,9897
Simpson,Mississippi,28,18314,38362,44651,27439,9786
Levy,Florida,12,18304,34348,41278,40289,15582
Clay,Mississippi,28,18273,30764,39169,20539,7750
Hughes,Oklahoma,40,18268,34619,44973,13838,4920
Menard,Texas,48,18253,31215,41250,2213,871
Carter,Missouri,29,18245,30962,40597,6260,2426
Cherokee,South Carolina,45,18240,34202,43439,55587,20762
Adams,Ohio,39,18235,35678,43771,28406,10816
Franklin,Georgia,13,18234,34830,45934,21998,8618
Perry,Kentucky,21,18224,33528,40814,28488,10801
Dickenson,Virginia,51,18215,33318,41314,15749,6352
Irwin,Georgia,13,18207,40771,50125,9571,3277
White,Tennessee,47,18205,34474,42357,25986,9729
Pershing,Nevada,32,18203,52101,56250,6752,2091
Marion,Arkansas,5,18188,34494,42333,16605,7036
Crisp,Georgia,13,18185,35240,42934,23521,8832
Pike,Mississippi,28,18183,34841,41288,40269,14614
Merced,California,6,18177,42591,47456,258707,75409
Bronx,New York,36,18171,34388,38843,1397315,474842
Monroe,Mississippi,28,18167,36308,45361,36652,13960
Benson,North Dakota,38,18162,36491,40821,6721,2291
San Juan,Puerto Rico,72,18160,21677,27916,395326,145321
Schuyler,Missouri,29,18160,34688,45269,4397,1773
Dallas,Missouri,29,18155,40120,44382,16733,6443
DeKalb,Alabama,1,18149,37851,45213,71076,24923
Clare,Michigan,26,18148,32668,40297,30823,13215
Le Flore,Oklahoma,40,18141,36542,44408,50062,18412
Prairie,Arkansas,5,18137,34855,43408,8573,3737
Butler,Kentucky,21,18136,35430,45314,12746,5124
Abbeville,South Carolina,45,18134,35947,47211,25233,9809
Sequoyah,Oklahoma,40,18131,35742,42828,41834,15624
Marion,Mississippi,28,18126,29400,38941,26674,9985
Dodge,Georgia,13,18114,37292,50116,21502,8186
Juab,Utah,49,18108,55247,57207,10300,3016
Itawamba,Mississippi,28,18106,36073,45142,23366,8859
Socorro,New Mexico,35,18104,34036,44076,17756,5329
Breckinridge,Kentucky,21,18101,38907,46870,20059,7213
Vinton,Ohio,39,18101,36705,41674,13365,5191
Osceola,Michigan,26,18099,37788,45839,23404,8987
Chester,South Carolina,45,18098,33103,42089,32879,12368
Randolph,Georgia,13,18094,30023,35914,7498,3020
Nodaway,Missouri,29,18079,36641,56449,23347,8599
Jasper,Mississippi,28,18075,31170,37218,16827,7015
Panola,Mississippi,28,18073,35715,41849,34558,11928
Clarke,Mississippi,28,18066,31362,41518,16614,6305
Decatur,Georgia,13,18059,30619,42523,27676,10525
Oscoda,Michigan,26,18057,33239,40517,8590,3781
Calhoun,West Virginia,54,18053,31679,41920,7603,3141
Izard,Arkansas,5,18040,30661,39717,13560,5682
Tillman,Oklahoma,40,18035,36354,45487,7898,3013
Evangeline,Louisiana,22,18023,31832,41022,33793,11967
San Saba,Texas,48,18009,37743,45678,6050,2035
Avoyelles,Louisiana,22,18006,33942,40311,41765,15332
Hale,Texas,48,18004,41191,45971,36150,11624
Dunklin,Missouri,29,17990,31304,38503,31916,12882
Glascock,Georgia,13,17984,37760,49279,3094,1189
Green,Kentucky,21,17984,34406,44338,11252,4495
West Carroll,Louisiana,22,17980,33848,44018,11540,4130
Marshall,Mississippi,28,17978,36022,41319,36823,13050
Upson,Georgia,13,17978,35329,43590,26918,10341
Caswell,North Carolina,37,17975,35315,45925,23462,8813
Candler,Georgia,13,17974,35070,42466,11045,3861
Greer,Oklahoma,40,17969,39900,48694,6178,2246
Lawrence,Kentucky,21,17960,33525,42182,15877,5823
Clark,Arkansas,5,17960,32721,48735,22912,8341
Twiggs,Georgia,13,17952,31234,35901,8808,3056
Clayton,Georgia,13,17950,40606,45355,262455,86274
Halifax,North Carolina,37,17937,32329,42607,54251,21550
Webster,West Virginia,54,17937,27645,34786,9073,3928
Quay,New Mexico,35,17936,30802,41304,8890,3476
Morgan,Missouri,29,17935,34797,45048,20392,8164
Grainger,Tennessee,47,17933,32364,41071,22653,9003
Real,Texas,48,17931,33885,38438,3348,1127
San Miguel,New Mexico,35,17926,28275,40284,29093,11435
McDuffie,Georgia,13,17922,37487,44510,21697,8143
Northampton,North Carolina,37,17919,31433,37249,21645,8604
Vance,North Carolina,37,17905,34987,41930,45120,16640
Tulare,California,6,17894,42708,45500,446644,131642
Letcher,Kentucky,21,17886,31200,44104,24202,9366
Newton,Arkansas,5,17884,30038,37243,8211,3507
Warren,Georgia,13,17884,27796,34030,5706,2208
Swisher,Texas,48,17880,36753,45110,7807,2604
Sumter,Georgia,13,17879,33796,43138,32099,11493
Barbour,West Virginia,54,17876,37327,44395,16655,6099
Gilmer,West Virginia,54,17870,38442,49852,8678,2590
Texas County,Missouri,29,17868,36082,45212,25830,9370
Val Verde,Texas,48,17867,40450,45452,48730,15082
Hertford,North Carolina,37,17863,33406,41713,24516,8624
Caddo,Oklahoma,40,17858,39267,48238,29605,10230
Madera,California,6,17847,45625,50772,151435,42516
Todd,Kentucky,21,17846,41541,51241,12505,4574
Ritchie,West Virginia,54,17843,35769,45615,10303,4032
Atoka,Oklahoma,40,17842,37012,41653,14070,5303
Iron,Utah,49,17839,42369,49829,46435,15435
Clinch,Georgia,13,17815,30345,42792,6766,2586
Sanpete,Utah,49,17811,48369,58486,27930,7781
Cassia,Idaho,16,17801,42039,51608,23054,7653
Okeechobee,Florida,12,17787,34570,43119,39642,12999
Pulaski,Georgia,13,17781,41550,48257,11775,4034
Calhoun,Arkansas,5,17763,30980,44638,5319,2046
Canyon,Idaho,16,17755,42105,47302,192153,63442
Franklin,Louisiana,22,17752,31214,40147,20699,7704
Sierra,New Mexico,35,17752,27430,40786,11898,4350
Lewis,Tennessee,47,17751,34397,42415,12049,4750
Bradford,Florida,12,17749,40259,49562,27981,8857
Morgan,Tennessee,47,17747,37631,45434,21964,7455
Choctaw,Oklahoma,40,17739,30201,42011,15167,6043
Washington Parish,Louisiana,22,17735,31778,41963,46935,17599
Hampshire,West Virginia,54,17734,27766,45831,23746,10570
Floyd,Kentucky,21,17716,30476,37838,39448,15422
Wayne,Tennessee,47,17706,33198,44653,16996,6093
Washington County,Missouri,29,17703,34702,41108,25135,9199
Baraga,Michigan,26,17701,41189,51705,8787,3234
Cumberland,Kentucky,21,17697,31593,37620,6842,2604
Orangeburg,South Carolina,45,17687,34110,42038,91836,34180
Power,Idaho,16,17684,44212,45837,7756,2568
Jeff Davis,Georgia,13,17684,36296,42577,15042,5509
Dawson,Texas,48,17677,39714,51946,13771,4414
Clarendon,South Carolina,45,17665,31410,40172,34652,12690
Santa Cruz,Arizona,4,17664,37745,41774,47122,15078
Arthur,Nebraska,31,17656,40568,48750,507,177
Robertson,Kentucky,21,17641,31786,49643,2254,884
Seminole,Georgia,13,17641,30521,38173,8831,3317
Lunenburg,Virginia,51,17630,35237,41875,12759,4572
Franklin,Idaho,16,17620,44962,56044,12801,4150
Gadsden,Florida,12,17615,35380,50314,46860,16662
McCurtain,Oklahoma,40,17615,31790,40224,33143,13078
Turner,Georgia,13,17609,28326,34176,8637,3166
Randolph,Missouri,29,17587,37203,47844,25253,8925
Early,Georgia,13,17579,28853,40732,10787,4030
Jenkins,Georgia,13,17565,26104,35490,8642,3354
Adams,Mississippi,28,17544,27381,36044,32308,12087
Deaf Smith,Texas,48,17532,41444,47763,19307,6191
Jackson,Florida,12,17525,36809,48028,49326,16244
Dimmit,Texas,48,17516,36681,44403,10270,3542
Washington County,Georgia,13,17515,33652,45757,20982,7119
Claiborne,Louisiana,22,17512,32996,39539,16964,5726
McDonald,Missouri,29,17505,37997,45172,22892,8221
Buchanan,Virginia,51,17489,29848,38734,23920,9485
Uvalde,Texas,48,17479,34902,41173,26578,8619
Marion,Georgia,13,17479,33301,49229,8673,3000
Roosevelt,New Mexico,35,17477,38764,42703,19984,7043
Cocke,Tennessee,47,17476,30573,39065,35596,14917
Blaine,Montana,30,17437,37151,41797,6550,2237
Bibb,Alabama,1,17427,36447,43004,22754,7091
Union,Tennessee,47,17426,34399,40717,19177,7406
Lincoln,Kentucky,21,17420,33651,43121,24602,9692
Summers,West Virginia,54,17416,33784,44595,13795,5350
Howell,Missouri,29,17416,32533,41181,40458,15796
Butler,Alabama,1,17403,29918,38500,20624,8235
Stone,Arkansas,5,17403,29832,39665,12517,5135
Washington County,Florida,12,17385,38501,45152,24702,8533
Hempstead,Arkansas,5,17376,32056,43407,22509,8296
Cochran,Texas,48,17371,38650,43458,3068,1039
Adair,Kentucky,21,17371,32524,45463,18696,7241
Hickory,Missouri,29,17361,29325,36457,9499,4219
Jasper,South Carolina,45,17350,36413,42070,25408,8563
Roane,West Virginia,54,17341,28513,38920,14807,5975
St. Clair,Missouri,29,17337,31539,42242,9649,4139
Wheatland,Montana,30,17336,31867,43594,2138,817
Doddridge,West Virginia,54,17334,34817,43622,8213,2778
Madison,Missouri,29,17316,35870,39718,12350,4603
Conejos,Colorado,8,17316,34526,44338,8256,3099
Hart,Kentucky,21,17273,33408,42359,18345,7115
Wayne,Georgia,13,17270,35830,43465,30187,10171
Lanier,Georgia,13,17264,39452,51739,10250,3725
Dallas,Alabama,1,17245,26519,38063,43091,16173
Covington,Mississippi,28,17241,33381,42657,19520,7036
Richmond,North Carolina,37,17236,32384,40322,46534,18254
Wilkinson,Georgia,13,17228,36173,44025,9520,3348
Ozark,Missouri,29,17215,32078,37938,9653,4063
Perry,Tennessee,47,17214,32845,39661,7861,3187
Lafayette,Arkansas,5,17212,29732,38913,7501,2722
Prince Edward,Virginia,51,17208,37436,48282,23166,7453
Crowley,Colorado,8,17187,31477,41270,5629,1173
Perry,Mississippi,28,17183,36124,40267,12174,4483
Jerome,Idaho,16,17182,40126,46585,22391,7676
Holmes,Ohio,39,17177,45477,53295,42841,12467
Tensas,Louisiana,22,17175,27543,35328,5105,2049
Metcalfe,Kentucky,21,17171,31750,40943,10043,3919
Graham,Arizona,4,17168,44943,50583,37168,11031
Buckingham,Virginia,51,17167,38648,48786,17126,5817
Long,Georgia,13,17158,42651,50522,15285,4841
Pickens,Alabama,1,17153,28741,38728,19516,7926
Choctaw,Mississippi,28,17145,29876,41164,8440,3378
Chesterfield,South Carolina,45,17140,31252,40989,46452,17622
Duplin,North Carolina,37,17122,34433,42029,59169,22052
Scott,Tennessee,47,17121,28401,35842,22154,8206
Wilkes,Georgia,13,17120,28983,39534,10265,4083
Russell,Kentucky,21,17107,29721,37256,17636,7270
Thurston,Nebraska,31,17106,41400,49612,6915,2050
Charlton,Georgia,13,17102,40111,50091,13080,3727
Bertie,North Carolina,37,17096,30768,40850,20879,7629
Rowan,Kentucky,21,17094,35236,47044,23425,8305
Harrisonburg City,Virginia,51,17080,38048,53588,49926,15701
Taylor,Georgia,13,17078,27455,35017,8595,3681
Emanuel,Georgia,13,17064,32046,37388,22669,8026
Drew,Arkansas,5,17057,31171,39884,18686,7496
Taylor,Florida,12,17045,36356,42684,22660,7672
Calhoun,Mississippi,28,17034,30000,39502,14875,5944
Coffee,Georgia,13,17031,35693,41964,42841,14497
Colquitt,Georgia,13,17025,32484,38765,45781,15918
Athens,Ohio,39,17019,33823,50583,64811,22181
Baker,Georgia,13,17019,27353,46696,3410,1374
Macon,Tennessee,47,17009,35306,42307,22416,8544
Talbot,Georgia,13,16993,32424,38993,6689,2682
Yell,Arkansas,5,16992,35535,41469,22014,7917
Amite,Mississippi,28,16977,30750,36277,13061,5212
Edgecombe,North Carolina,37,16971,33960,42351,56049,21021
Piute,Utah,49,16959,38500,50179,1791,570
Adams,Washington,53,16940,43926,48121,18802,5738
Monroe,Arkansas,5,16939,27263,35422,8002,3393
Brantley,Georgia,13,16938,36070,41975,18409,6550
Poinsett,Arkansas,5,16919,32089,39616,24403,9369
Carroll,Mississippi,28,16897,31039,41038,10501,3757
Roosevelt,Montana,30,16888,36920,49649,10665,3264
Pemiscot,Missouri,29,16881,28889,38152,18160,6941
Clay,Tennessee,47,16867,29727,36659,7816,3281
Shannon,Missouri,29,16862,31132,41440,8388,3220
Dixie,Florida,12,16851,33981,42959,16234,6130
Walthall,Mississippi,28,16850,31090,43597,15265,5649
Bee,Texas,48,16848,43690,50229,32281,8539
Holmes,Florida,12,16845,35511,45713,19864,6808
Dallas,Arkansas,5,16838,28931,39681,8045,3269
Terrell,Georgia,13,16836,32628,38007,9246,3351
Phillips,Arkansas,5,16830,26737,34684,21253,8339
Barbour,Alabama,1,16829,32911,43462,27321,9200
Macon,Alabama,1,16826,30724,41233,20803,8107
Campbell,Tennessee,47,16812,31943,39284,40553,15959
Johnson,Georgia,13,16807,36722,43634,9903,3250
Clinton,Kentucky,21,16795,27100,31364,10210,3960
Scott,Mississippi,28,16789,34534,39404,28255,9692
Winn,Louisiana,22,16789,34322,45200,15129,5402
Berrien,Georgia,13,16784,32258,42594,19174,7040
Leake,Mississippi,28,16780,32521,38766,23519,8069
Imperial,California,6,16763,41807,45540,175201,48099
Anson,North Carolina,37,16752,33870,39667,26569,9686
Somerset,Maryland,24,16748,38447,53413,26347,8419
Clay,West Virginia,54,16740,31613,42629,9352,3435
Searcy,Arkansas,5,16731,30779,39444,8101,3296
Sharp,Arkansas,5,16714,30861,40550,17203,7023
Kinney,Texas,48,16700,33257,45375,3589,1195
Morehouse,Louisiana,22,16683,28585,39570,27603,10482
Chickasaw,Mississippi,28,16677,31061,36783,17403,6614
Zapata,Texas,48,16671,31109,37267,14164,4460
Washington County,Mississippi,28,16671,28093,33025,50578,18123
Lee,Virginia,51,16664,31308,40704,25497,9653
Tyrrell,North Carolina,37,16658,34216,38493,4272,1480
Monroe,Kentucky,21,16656,29808,39949,10874,4401
DeKalb,Missouri,29,16635,44092,57163,12873,3769
Navajo,Arizona,4,16626,36927,43516,107326,34343
Prentiss,Mississippi,28,16589,32503,42093,25354,9611
Gurabo,Puerto Rico,72,16559,32625,35589,45369,15223
Guam,Guam,#N/A,16549,48274,50607,162742,42026
Sussex,Virginia,51,16546,39635,53520,12007,3704
Escambia,Alabama,1,16540,30687,36550,38169,13681
Chicot,Arkansas,5,16538,26201,34451,11621,4510
Marion,South Carolina,45,16531,29149,38974,32695,12049
Lincoln,Idaho,16,16530,42433,47756,5221,1617
Okfuskee,Oklahoma,40,16528,35170,43452,12268,4246
Rockcastle,Kentucky,21,16513,30674,39404,16997,6605
Falls,Texas,48,16486,32908,43216,17719,5600
Johnson,Tennessee,47,16470,29609,36866,18158,6921
Bolivar,Mississippi,28,16462,28599,36443,34107,12301
Montgomery,Georgia,13,16460,32702,42933,9050,3185
Fentress,Tennessee,47,16454,29192,37837,17943,7348
Murray,Georgia,13,16449,34888,44811,39504,14092
Estill,Kentucky,21,16435,29184,36327,14601,5829
Concordia,Louisiana,22,16431,29022,38125,20652,7642
Leslie,Kentucky,21,16424,29293,37796,11220,4206
Ripley,Missouri,29,16408,32291,37009,14071,5544
Douglas,Missouri,29,16404,32130,38312,13647,5178
Wayne,Kentucky,21,16396,29497,36059,20797,8083
Greensville,Virginia,51,16380,39697,47517,12078,3389
Bath,Kentucky,21,16367,30797,36823,11732,4447
Cedar,Missouri,29,16362,30302,38058,13903,5970
Malheur,Oregon,41,16352,35578,45825,30898,10136
Oregon County,Missouri,29,16331,27743,36791,10935,4572
Walker,Texas,48,16330,37617,55377,68110,20558
Hamilton,Florida,12,16295,37716,46295,14655,4657
