county,states,statefips,pci,household_income,family_income,population,num_of_households
Garfield,Oklahoma,40,24177,44530,53572,60956,23508
Rush,Kansas,20,24175,42610,52727,3233,1529
Jasper,Illinois,17,24174,52233,59406,9680,3904
Schuyler,New York,36,24173,46976,58866,18432,7684
Leon,Texas,48,24170,44452,54609,16802,6349
Paulding,Georgia,13,24168,61837,67668,143845,47881
Washington County,New York,36,24168,52361,61494,63237,24499
Berkeley,South Carolina,45,24165,52427,59373,184366,65392
Otsego,New York,36,24165,47765,60526,62029,24078
Alleghany,Virginia,51,24162,44848,59384,16240,6773
Anderson,Kentucky,21,24161,52646,64806,21575,8323
Mercer,Ohio,39,24157,52535,64758,40811,15851
Kane,Utah,49,24154,48540,58883,7176,3077
Campbell,South Dakota,46,24152,35729,50938,1435,679
Hardin,Kentucky,21,24147,48687,58565,106211,39401
Allegan,Michigan,26,24140,52061,59509,111742,41794
Chickasaw,Iowa,19,24139,43971,55735,12379,5364
Mercer,Kentucky,21,24138,45396,58533,21313,8745
Pipestone,Minnesota,27,24137,46019,56071,9470,3924
Holt,Missouri,29,24127,42979,53578,4771,2218
Marion,Indiana,18,24124,42334,52417,912242,360072
Holt,Nebraska,31,24120,44427,58608,10435,4469
Jackson,Kansas,20,24117,54546,63807,13430,5273
Marshall,Iowa,19,24117,51555,60501,40800,15350
Terrebonne,Louisiana,22,24114,49960,60417,111868,39279
Rock,Minnesota,27,24101,46623,58835,9601,3970
Wabash,Illinois,17,24096,47365,61412,11848,4785
Rock,Wisconsin,55,24094,49435,60120,160345,63309
Throckmorton,Texas,48,24086,39286,42368,1623,758
Franklin,Indiana,18,24085,49516,63675,23042,8551
Itasca,Minnesota,27,24079,46912,56705,45219,18862
Carroll,Missouri,29,24073,46002,61400,9216,3613
Howard,Indiana,18,24071,43590,57615,82795,34544
Gregg,Texas,48,24064,45525,56869,122258,45292
Stonewall,Texas,48,24063,42429,54167,1363,578
Huerfano,Colorado,8,24058,33298,41862,6625,3059
Wood,West Virginia,54,24042,42287,53647,86779,35569
Fremont,Wyoming,56,24037,50418,60397,40517,15425
Shelby,Ohio,39,24028,50427,60939,49317,18311
Kingman,Kansas,20,24026,47466,58299,7860,3223
Beadle,South Dakota,46,24025,42196,58207,17663,7343
Madison,Ohio,39,24014,54956,65696,43221,14611
Berrien,Michigan,26,24013,43633,56324,156290,60414
Wayne,Pennsylvania,42,24005,49313,58934,52212,19558
